,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
32,MG,ZS,First,7500,Electric,2021,Blue,5,340,23,23.6
109,BMW,iX,UnRegistered,2750,Electric,2022,Black,5,326,2.95,3.38
217,Tata,Nexon,First,20000,Electric,2021,Green,5,127,15.25,15.63
266,Tata,Nexon,First,20000,Electric,2021,Green,5,127,15.25,15.63
301,MG,ZS,First,7500,Electric,2021,Blue,5,340,23,23.6
464,Tata,Nexon,First,5000,Electric,2022,Black,5,127,15.75,14.99
499,MG,ZS,First,7500,Electric,2021,Blue,5,340,23,23.6
525,MG,ZS,First,7500,Electric,2021,Blue,5,340,23,23.6
526,Tata,Nexon,First,5000,Electric,2022,Black,5,127,15.75,14.99
554,BMW,iX,UnRegistered,2750,Electric,2022,Black,5,326,13.45,13.89
579,Tata,Nexon,First,20000,Electric,2021,Green,5,127,15.25,15.63
584,MG,ZS,First,7500,Electric,2021,Blue,5,340,23,23.6
586,BMW,iX,UnRegistered,2750,Electric,2022,Black,5,326,32.75,37.09
613,BMW,iX,UnRegistered,2750,Electric,2022,Black,5,326,6.95,6.68
632,Tata,Nexon,First,20000,Electric,2021,Green,5,127,15.25,15.63
685,MG,ZS,First,7500,Electric,2021,Blue,5,340,23,23.6
850,MG,ZS,First,7500,Electric,2021,Blue,5,340,23,23.6
898,Tata,Nexon,First,3900,Electric,2022,Black,5,127,15.45,15
991,BMW,iX,UnRegistered,2750,Electric,2022,Black,5,326,6.35,6.52
1046,BMW,iX,UnRegistered,2750,Electric,2022,Black,5,326,7.45,8.44
1152,Tata,Nexon,First,20000,Electric,2021,Green,5,127,15.25,15.63
1178,Tata,Nexon,First,20000,Electric,2021,Green,5,127,15.25,15.63
1325,MG,ZS,First,7500,Electric,2021,Blue,5,340,23,23.6
1354,Tata,Nexon,First,20000,Electric,2021,Green,5,127,15.25,15.63
